NAME,LIGHT-YEARS FROM EARTH,PLANET MASS,STELLAR MAGNITUDE,DISCOVERY DATE,HYPERLINK,PLANET_TYPE,PLANET_RADIUS,ORBITAL_RADIUS,ORBITAL_PERIOD,ECCENTRICITY
Kepler-226 d,3197,1.98 Earths,15.563,2014,https://exoplanets.nasa.gov/exoplanet-catalog/4655/kepler-226-d/,Gas Giant,1996,1.78 Jupiters,1.2 x Jupiter,1.66 AU,2.2 years,0.68
Kepler-226 d,3197,1.98 Earths,15.563,2014,https://exoplanets.nasa.gov/exoplanet-catalog/4655/kepler-226-d/,Gas Giant,2008,10.3 Jupiters,1.11 x Jupiter,2.6 AU,2.7 years,0.08
Kepler-226 d,3197,1.98 Earths,15.563,2014,https://exoplanets.nasa.gov/exoplanet-catalog/4655/kepler-226-d/,Gas Giant,2008,8 Jupiters,1.664 x Jupiter,330.0 AU,6505.9 years,0.0
Kepler-226 d,3197,1.98 Earths,15.563,2014,https://exoplanets.nasa.gov/exoplanet-catalog/4655/kepler-226-d/,Gas Giant,2018,0.91 Jupiters,1.24 x Jupiter,0.19 AU,30.4 days,0.04
Kepler-226 d,3197,1.98 Earths,15.563,2014,https://exoplanets.nasa.gov/exoplanet-catalog/4655/kepler-226-d/,Gas Giant,2010,1.99 Jupiters,1.19 x Jupiter,1.333 AU,452.8 days,0.09
Kepler-226 d,3197,1.98 Earths,15.563,2014,https://exoplanets.nasa.gov/exoplanet-catalog/4655/kepler-226-d/,Gas Giant,2010,0.86 Jupiters,1.24 x Jupiter,2.08 AU,2.4 years,0.29
Kepler-226 d,3197,1.98 Earths,15.563,2014,https://exoplanets.nasa.gov/exoplanet-catalog/4655/kepler-226-d/,Gas Giant,2007,19.4 Jupiters,1.08 x Jupiter,1.29 AU,326 days,0.23
Kepler-226 d,3197,1.98 Earths,15.563,2014,https://exoplanets.nasa.gov/exoplanet-catalog/4655/kepler-226-d/,Gas Giant,2009,14.74 Jupiters,1.09 x Jupiter,1.53 AU,1.4 years,0.08
Kepler-226 d,3197,1.98 Earths,15.563,2014,https://exoplanets.nasa.gov/exoplanet-catalog/4655/kepler-226-d/,Gas Giant,2008,4.8 Jupiters,1.15 x Jupiter,0.83 AU,185.8 days,0.0
Kepler-226 d,3197,1.98 Earths,15.563,2014,https://exoplanets.nasa.gov/exoplanet-catalog/4655/kepler-226-d/,Gas Giant,2002,4.66 Jupiters,1.15 x Jupiter,2.93 AU,4.9 years,0.37
Kepler-226 d,3197,1.98 Earths,15.563,2014,https://exoplanets.nasa.gov/exoplanet-catalog/4655/kepler-226-d/,Gas Giant,1996,1.78 Jupiters,1.2 x Jupiter,1.66 AU,2.2 years,0.68
Kepler-226 d,3197,1.98 Earths,15.563,2014,https://exoplanets.nasa.gov/exoplanet-catalog/4655/kepler-226-d/,Gas Giant,2008,10.3 Jupiters,1.11 x Jupiter,2.6 AU,2.7 years,0.08
Kepler-226 d,3197,1.98 Earths,15.563,2014,https://exoplanets.nasa.gov/exoplanet-catalog/4655/kepler-226-d/,Gas Giant,2008,8 Jupiters,1.664 x Jupiter,330.0 AU,6505.9 years,0.0
Kepler-226 d,3197,1.98 Earths,15.563,2014,https://exoplanets.nasa.gov/exoplanet-catalog/4655/kepler-226-d/,Gas Giant,2018,0.91 Jupiters,1.24 x Jupiter,0.19 AU,30.4 days,0.04
Kepler-226 d,3197,1.98 Earths,15.563,2014,https://exoplanets.nasa.gov/exoplanet-catalog/4655/kepler-226-d/,Gas Giant,2010,1.99 Jupiters,1.19 x Jupiter,1.333 AU,452.8 days,0.09
Kepler-226 d,3197,1.98 Earths,15.563,2014,https://exoplanets.nasa.gov/exoplanet-catalog/4655/kepler-226-d/,Gas Giant,2010,0.86 Jupiters,1.24 x Jupiter,2.08 AU,2.4 years,0.29
Kepler-226 d,3197,1.98 Earths,15.563,2014,https://exoplanets.nasa.gov/exoplanet-catalog/4655/kepler-226-d/,Gas Giant,2013,13 Jupiters,1.1 x Jupiter,84.0 AU,1767.2 years,0.0
Kepler-226 d,3197,1.98 Earths,15.563,2014,https://exoplanets.nasa.gov/exoplanet-catalog/4655/kepler-226-d/,Gas Giant,2013,24.5 Jupiters,1.0 x Jupiter,52.0 AU,593.2 years,0.0
Kepler-226 d,3197,1.98 Earths,15.563,2014,https://exoplanets.nasa.gov/exoplanet-catalog/4655/kepler-226-d/,Gas Giant,2015,13.9 Jupiters,1.44 x Jupiter,156.0 AU,5878.1 years,0.0
Kepler-226 d,3197,1.98 Earths,15.563,2014,https://exoplanets.nasa.gov/exoplanet-catalog/4655/kepler-226-d/,Gas Giant,2010,7.5 Jupiters,1.13 x Jupiter,15.0 AU,411 years,0.0
Kepler-226 d,3197,1.98 Earths,15.563,2014,https://exoplanets.nasa.gov/exoplanet-catalog/4655/kepler-226-d/,Gas Giant,2004,5 Jupiters,1.15 x Jupiter,55.0 AU,2885.9 years,0.0
Kepler-226 d,3197,1.98 Earths,15.563,2014,https://exoplanets.nasa.gov/exoplanet-catalog/4655/kepler-226-d/,Gas Giant,2015,1.9 Jupiters,1.2 x Jupiter,0.92 AU,416 days,0.0
Kepler-226 d,3197,1.98 Earths,15.563,2014,https://exoplanets.nasa.gov/exoplanet-catalog/4655/kepler-226-d/,Gas Giant,2009,20.95 Jupiters,0.92 x Jupiter,Unknown,20.1 years,0.26
Kepler-226 d,3197,1.98 Earths,15.563,2014,https://exoplanets.nasa.gov/exoplanet-catalog/4655/kepler-226-d/,Gas Giant,2016,12.5 Jupiters,1.1 x Jupiter,230.0 AU,4505.7 years,0.0
Kepler-226 d,3197,1.98 Earths,15.563,2014,https://exoplanets.nasa.gov/exoplanet-catalog/4655/kepler-226-d/,Gas Giant,2009,13.82 Jupiters,1.1 x Jupiter,0.99 AU,335.1 days,0.29
Kepler-226 d,3197,1.98 Earths,15.563,2014,https://exoplanets.nasa.gov/exoplanet-catalog/4655/kepler-226-d/,Gas Giant,2008,3.88 Jupiters,1.16 x Jupiter,1.19 AU,479.1 days,0.38
Kepler-226 d,3197,1.98 Earths,15.563,2014,https://exoplanets.nasa.gov/exoplanet-catalog/4655/kepler-226-d/,Gas Giant,2013,13 Jupiters,1.1 x Jupiter,84.0 AU,1767.2 years,0.0
Kepler-226 d,3197,1.98 Earths,15.563,2014,https://exoplanets.nasa.gov/exoplanet-catalog/4655/kepler-226-d/,Gas Giant,2013,24.5 Jupiters,1.0 x Jupiter,52.0 AU,593.2 years,0.0
Kepler-226 d,3197,1.98 Earths,15.563,2014,https://exoplanets.nasa.gov/exoplanet-catalog/4655/kepler-226-d/,Gas Giant,2015,13.9 Jupiters,1.44 x Jupiter,156.0 AU,5878.1 years,0.0
Kepler-226 d,3197,1.98 Earths,15.563,2014,https://exoplanets.nasa.gov/exoplanet-catalog/4655/kepler-226-d/,Gas Giant,2010,7.5 Jupiters,1.13 x Jupiter,15.0 AU,411 years,0.0
Kepler-226 d,3197,1.98 Earths,15.563,2014,https://exoplanets.nasa.gov/exoplanet-catalog/4655/kepler-226-d/,Gas Giant,2004,5 Jupiters,1.15 x Jupiter,55.0 AU,2885.9 years,0.0
Kepler-226 d,3197,1.98 Earths,15.563,2014,https://exoplanets.nasa.gov/exoplanet-catalog/4655/kepler-226-d/,Gas Giant,2015,1.9 Jupiters,1.2 x Jupiter,0.92 AU,416 days,0.0
Kepler-226 d,3197,1.98 Earths,15.563,2014,https://exoplanets.nasa.gov/exoplanet-catalog/4655/kepler-226-d/,Gas Giant,2009,20.95 Jupiters,0.92 x Jupiter,Unknown,20.1 years,0.26
Kepler-226 d,3197,1.98 Earths,15.563,2014,https://exoplanets.nasa.gov/exoplanet-catalog/4655/kepler-226-d/,Gas Giant,2016,12.5 Jupiters,1.1 x Jupiter,230.0 AU,4505.7 years,0.0
Kepler-226 d,3197,1.98 Earths,15.563,2014,https://exoplanets.nasa.gov/exoplanet-catalog/4655/kepler-226-d/,Gas Giant,2009,13.82 Jupiters,1.1 x Jupiter,0.99 AU,335.1 days,0.29
Kepler-226 d,3197,1.98 Earths,15.563,2014,https://exoplanets.nasa.gov/exoplanet-catalog/4655/kepler-226-d/,Gas Giant,2008,3.88 Jupiters,1.16 x Jupiter,1.19 AU,479.1 days,0.38
Kepler-226 d,3197,1.98 Earths,15.563,2014,https://exoplanets.nasa.gov/exoplanet-catalog/4655/kepler-226-d/,Gas Giant,2013,13 Jupiters,1.1 x Jupiter,84.0 AU,1767.2 years,0.0
Kepler-226 d,3197,1.98 Earths,15.563,2014,https://exoplanets.nasa.gov/exoplanet-catalog/4655/kepler-226-d/,Gas Giant,2013,24.5 Jupiters,1.0 x Jupiter,52.0 AU,593.2 years,0.0
Kepler-226 d,3197,1.98 Earths,15.563,2014,https://exoplanets.nasa.gov/exoplanet-catalog/4655/kepler-226-d/,Gas Giant,2015,13.9 Jupiters,1.44 x Jupiter,156.0 AU,5878.1 years,0.0
Kepler-226 d,3197,1.98 Earths,15.563,2014,https://exoplanets.nasa.gov/exoplanet-catalog/4655/kepler-226-d/,Gas Giant,2010,7.5 Jupiters,1.13 x Jupiter,15.0 AU,411 years,0.0
Kepler-226 d,3197,1.98 Earths,15.563,2014,https://exoplanets.nasa.gov/exoplanet-catalog/4655/kepler-226-d/,Gas Giant,2004,5 Jupiters,1.15 x Jupiter,55.0 AU,2885.9 years,0.0
Kepler-226 d,3197,1.98 Earths,15.563,2014,https://exoplanets.nasa.gov/exoplanet-catalog/4655/kepler-226-d/,Gas Giant,2015,1.9 Jupiters,1.2 x Jupiter,0.92 AU,416 days,0.0
Kepler-226 d,3197,1.98 Earths,15.563,2014,https://exoplanets.nasa.gov/exoplanet-catalog/4655/kepler-226-d/,Gas Giant,2009,20.95 Jupiters,0.92 x Jupiter,Unknown,20.1 years,0.26
Kepler-226 d,3197,1.98 Earths,15.563,2014,https://exoplanets.nasa.gov/exoplanet-catalog/4655/kepler-226-d/,Gas Giant,2016,12.5 Jupiters,1.1 x Jupiter,230.0 AU,4505.7 years,0.0
Kepler-226 d,3197,1.98 Earths,15.563,2014,https://exoplanets.nasa.gov/exoplanet-catalog/4655/kepler-226-d/,Gas Giant,2009,13.82 Jupiters,1.1 x Jupiter,0.99 AU,335.1 days,0.29
Kepler-226 d,3197,1.98 Earths,15.563,2014,https://exoplanets.nasa.gov/exoplanet-catalog/4655/kepler-226-d/,Gas Giant,2008,3.88 Jupiters,1.16 x Jupiter,1.19 AU,479.1 days,0.38
Kepler-226 d,3197,1.98 Earths,15.563,2014,https://exoplanets.nasa.gov/exoplanet-catalog/4655/kepler-226-d/,Gas Giant,2007,0.141 Jupiters,0.677 x Jupiter,0.7708 AU,259.9 days,0.08
Kepler-226 d,3197,1.98 Earths,15.563,2014,https://exoplanets.nasa.gov/exoplanet-catalog/4655/kepler-226-d/,Neptune-like,2009,5.1 Earths,2.11 x Earth,0.050201 AU,4.2 days,0.12
Kepler-226 d,3197,1.98 Earths,15.563,2014,https://exoplanets.nasa.gov/exoplanet-catalog/4655/kepler-226-d/,Neptune-like,2009,18.2 Earths,0.398 x Jupiter,0.2175 AU,38 days,0.14
Kepler-226 d,3197,1.98 Earths,15.563,2014,https://exoplanets.nasa.gov/exoplanet-catalog/4655/kepler-226-d/,Neptune-like,2009,22.9 Earths,0.456 x Jupiter,0.476 AU,123 days,0.35
Kepler-226 d,3197,1.98 Earths,15.563,2014,https://exoplanets.nasa.gov/exoplanet-catalog/4655/kepler-226-d/,Gas Giant,2008,2.01 Jupiters,1.19 x Jupiter,2.11 AU,2.6 years,0.07
Kepler-226 d,3197,1.98 Earths,15.563,2014,https://exoplanets.nasa.gov/exoplanet-catalog/4655/kepler-226-d/,Gas Giant,1996,7.49 Jupiters,1.13 x Jupiter,0.481 AU,116.7 days,0.4
Kepler-226 d,3197,1.98 Earths,15.563,2014,https://exoplanets.nasa.gov/exoplanet-catalog/4655/kepler-226-d/,Gas Giant,2012,3 Jupiters,1.17 x Jupiter,2.1 AU,1.9 years,0.12
Kepler-226 d,3197,1.98 Earths,15.563,2014,https://exoplanets.nasa.gov/exoplanet-catalog/4655/kepler-226-d/,Gas Giant,2011,1.85 Jupiters,1.2 x Jupiter,1.758 AU,2 years,0.06
Kepler-226 d,3197,1.98 Earths,15.563,2014,https://exoplanets.nasa.gov/exoplanet-catalog/4655/kepler-226-d/,Gas Giant,2019,0.87 Jupiters,1.24 x Jupiter,2.153 AU,2.7 years,0.08
Kepler-226 d,3197,1.98 Earths,15.563,2014,https://exoplanets.nasa.gov/exoplanet-catalog/4655/kepler-226-d/,Gas Giant,2008,5.3 Jupiters,1.14 x Jupiter,2.5 AU,2.6 years,0.21
Kepler-226 d,3197,1.98 Earths,15.563,2014,https://exoplanets.nasa.gov/exoplanet-catalog/4655/kepler-226-d/,Gas Giant,2007,0.141 Jupiters,0.677 x Jupiter,0.7708 AU,259.9 days,0.08
Kepler-226 d,3197,1.98 Earths,15.563,2014,https://exoplanets.nasa.gov/exoplanet-catalog/4655/kepler-226-d/,Neptune-like,2009,5.1 Earths,2.11 x Earth,0.050201 AU,4.2 days,0.12
Kepler-226 d,3197,1.98 Earths,15.563,2014,https://exoplanets.nasa.gov/exoplanet-catalog/4655/kepler-226-d/,Neptune-like,2009,18.2 Earths,0.398 x Jupiter,0.2175 AU,38 days,0.14
Kepler-226 d,3197,1.98 Earths,15.563,2014,https://exoplanets.nasa.gov/exoplanet-catalog/4655/kepler-226-d/,Neptune-like,2009,22.9 Earths,0.456 x Jupiter,0.476 AU,123 days,0.35
Kepler-226 d,3197,1.98 Earths,15.563,2014,https://exoplanets.nasa.gov/exoplanet-catalog/4655/kepler-226-d/,Gas Giant,2008,2.01 Jupiters,1.19 x Jupiter,2.11 AU,2.6 years,0.07
Kepler-226 d,3197,1.98 Earths,15.563,2014,https://exoplanets.nasa.gov/exoplanet-catalog/4655/kepler-226-d/,Gas Giant,1996,7.49 Jupiters,1.13 x Jupiter,0.481 AU,116.7 days,0.4
Kepler-226 d,3197,1.98 Earths,15.563,2014,https://exoplanets.nasa.gov/exoplanet-catalog/4655/kepler-226-d/,Gas Giant,2012,3 Jupiters,1.17 x Jupiter,2.1 AU,1.9 years,0.12
Kepler-226 d,3197,1.98 Earths,15.563,2014,https://exoplanets.nasa.gov/exoplanet-catalog/4655/kepler-226-d/,Gas Giant,2011,1.85 Jupiters,1.2 x Jupiter,1.758 AU,2 years,0.06
Kepler-226 d,3197,1.98 Earths,15.563,2014,https://exoplanets.nasa.gov/exoplanet-catalog/4655/kepler-226-d/,Gas Giant,2019,0.87 Jupiters,1.24 x Jupiter,2.153 AU,2.7 years,0.08
Kepler-226 d,3197,1.98 Earths,15.563,2014,https://exoplanets.nasa.gov/exoplanet-catalog/4655/kepler-226-d/,Gas Giant,2008,5.3 Jupiters,1.14 x Jupiter,2.5 AU,2.6 years,0.21
Kepler-226 d,3197,1.98 Earths,15.563,2014,https://exoplanets.nasa.gov/exoplanet-catalog/4655/kepler-226-d/,Gas Giant,2007,0.141 Jupiters,0.677 x Jupiter,0.7708 AU,259.9 days,0.08
Kepler-226 d,3197,1.98 Earths,15.563,2014,https://exoplanets.nasa.gov/exoplanet-catalog/4655/kepler-226-d/,Neptune-like,2009,5.1 Earths,2.11 x Earth,0.050201 AU,4.2 days,0.12
Kepler-226 d,3197,1.98 Earths,15.563,2014,https://exoplanets.nasa.gov/exoplanet-catalog/4655/kepler-226-d/,Neptune-like,2009,18.2 Earths,0.398 x Jupiter,0.2175 AU,38 days,0.14
Kepler-226 d,3197,1.98 Earths,15.563,2014,https://exoplanets.nasa.gov/exoplanet-catalog/4655/kepler-226-d/,Neptune-like,2009,22.9 Earths,0.456 x Jupiter,0.476 AU,123 days,0.35
Kepler-226 d,3197,1.98 Earths,15.563,2014,https://exoplanets.nasa.gov/exoplanet-catalog/4655/kepler-226-d/,Gas Giant,2008,2.01 Jupiters,1.19 x Jupiter,2.11 AU,2.6 years,0.07
